,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,score_add
15673,1989-10-11,Poland,England,0,0,FIFA World Cup qualification,Chorzów,Poland,False,0
15738,1989-11-15,England,Italy,0,0,Friendly,London,England,False,0
15772,1989-12-13,England,Yugoslavia,2,1,Friendly,London,England,False,3
15880,1990-03-28,England,Brazil,1,0,Friendly,London,England,False,1
15908,1990-04-25,England,Czechoslovakia,4,2,Friendly,London,England,False,6
15932,1990-05-15,England,Denmark,1,0,Friendly,London,England,False,1
15948,1990-05-22,England,Uruguay,1,2,Friendly,London,England,False,3
15979,1990-06-02,Tunisia,England,1,1,Friendly,Tunis,Tunisia,False,2
15994,1990-06-11,England,Ireland,1,1,FIFA World Cup,Cagliari,Italy,True,2
16005,1990-06-16,England,Netherlands,0,0,FIFA World Cup,Cagliari,Italy,True,0
16019,1990-06-21,England,Egypt,1,0,FIFA World Cup,Cagliari,Italy,True,1
16028,1990-06-26,England,Belgium,1,0,FIFA World Cup,Bologna,Italy,True,1
16032,1990-07-01,Cameroon,England,2,3,FIFA World Cup,Naples,Italy,True,5
16035,1990-07-04,Germany,England,1,1,FIFA World Cup,Turin,Italy,True,2
16037,1990-07-07,Italy,England,2,1,FIFA World Cup,Bari,Italy,False,3
16103,1990-09-12,England,Hungary,1,0,Friendly,London,England,False,1
16133,1990-10-17,England,Poland,2,0,UEFA Euro qualification,London,England,False,2
16169,1990-11-14,Ireland,England,1,1,UEFA Euro qualification,Dublin,Ireland,False,2
16237,1991-02-06,England,Cameroon,2,0,Friendly,London,England,False,2
16270,1991-03-27,England,Ireland,1,1,UEFA Euro qualification,London,England,False,2
16327,1991-05-01,Turkey,England,0,1,UEFA Euro qualification,Izmir,Turkey,False,1
16360,1991-05-21,England,Russia,3,1,Friendly,London,England,False,4
16371,1991-05-25,England,Argentina,2,2,Friendly,London,England,False,4
16388,1991-06-01,Australia,England,0,1,Friendly,Sydney,Australia,False,1
16395,1991-06-03,New Zealand,England,0,1,Friendly,Auckland,New Zealand,False,1
16406,1991-06-08,New Zealand,England,0,2,Friendly,Wellington,New Zealand,False,2
16413,1991-06-12,Malaysia,England,2,4,Friendly,Kuala Lumpur,Malaysia,False,6
16529,1991-09-11,England,Germany,0,1,Friendly,London,England,False,1
16588,1991-10-16,England,Turkey,1,0,UEFA Euro qualification,London,England,False,1
16608,1991-11-13,Poland,England,1,1,UEFA Euro qualification,Poznań,Poland,False,2
16710,1992-02-19,England,France,2,0,Friendly,London,England,False,2
16733,1992-03-25,Czechoslovakia,England,2,2,Friendly,Prague,Czechoslovakia,False,4
16780,1992-04-29,Russia,England,2,2,Friendly,Moscow,Russia,False,4
16793,1992-05-12,Hungary,England,0,1,Friendly,Budapest,Hungary,False,1
16800,1992-05-17,England,Brazil,1,1,Friendly,London,England,False,2
16837,1992-06-03,Finland,England,1,2,Friendly,Helsinki,Finland,False,3
16855,1992-06-11,Denmark,England,0,0,UEFA Euro,Malmö,Sweden,True,0
16861,1992-06-14,France,England,0,0,UEFA Euro,Malmö,Sweden,True,0
16871,1992-06-17,Sweden,England,2,1,UEFA Euro,Solna,Sweden,False,3
17038,1992-09-09,Spain,England,1,0,Friendly,Santander,Spain,False,1
17097,1992-10-14,England,Norway,1,1,FIFA World Cup qualification,London,England,False,2
17183,1992-11-18,England,Turkey,4,0,FIFA World Cup qualification,London,England,False,4
17328,1993-02-17,England,San Marino,6,0,FIFA World Cup qualification,London,England,False,6
17408,1993-03-31,Turkey,England,0,2,FIFA World Cup qualification,Izmir,Turkey,False,2
17505,1993-04-28,England,Netherlands,2,2,FIFA World Cup qualification,London,England,False,4
17610,1993-05-29,Poland,England,1,1,FIFA World Cup qualification,Chorzów,Poland,False,2
17623,1993-06-02,Norway,England,2,0,FIFA World Cup qualification,Oslo,Norway,False,2
17648,1993-06-09,USA,England,2,0,USA Cup,Foxborough,USA,False,2
17659,1993-06-13,Brazil,England,1,1,USA Cup,Washington,USA,True,2
17683,1993-06-19,England,Germany,1,2,USA Cup,Pontiac,USA,True,3
17827,1993-09-08,England,Poland,3,0,FIFA World Cup qualification,London,England,False,3
17877,1993-10-13,Netherlands,England,2,0,FIFA World Cup qualification,Rotterdam,Netherlands,False,2
17935,1993-11-17,San Marino,England,1,7,FIFA World Cup qualification,Bologna,Italy,True,8
18053,1994-03-09,England,Denmark,1,0,Friendly,London,England,False,1
18168,1994-05-17,England,Greece,5,0,Friendly,London,England,False,5
18173,1994-05-22,England,Norway,0,0,Friendly,London,England,False,0
18345,1994-09-07,England,USA,2,0,Friendly,London,England,False,2
18390,1994-10-12,England,Romania,1,1,Friendly,London,England,False,2
18465,1994-11-16,England,Nigeria,1,0,Friendly,London,England,False,1
18588,1995-02-15,Ireland,England,1,0,Friendly,Dublin,Ireland,False,1
18642,1995-03-29,England,Uruguay,0,0,Friendly,London,England,False,0
18774,1995-06-03,England,Japan,2,1,Friendly,London,England,False,3
18809,1995-06-08,England,Sweden,3,3,Friendly,Leeds,England,False,6
18815,1995-06-11,England,Brazil,1,3,Friendly,London,England,False,4
18969,1995-09-06,England,Colombia,0,0,Friendly,London,England,False,0
19016,1995-10-11,Norway,England,0,0,Friendly,Oslo,Norway,False,0
19061,1995-11-15,England,Switzerland,3,1,Friendly,London,England,False,4
19144,1995-12-12,England,Portugal,1,1,Friendly,London,England,False,2
19336,1996-04-24,England,Croatia,0,0,Friendly,London,England,False,0
19388,1996-05-18,England,Hungary,3,0,Friendly,London,England,False,3
19398,1996-05-23,China,England,0,3,Friendly,Beijing,China,False,3
19480,1996-06-08,England,Switzerland,1,1,UEFA Euro,London,England,False,2
19514,1996-06-15,England,Scotland,2,0,UEFA Euro,London,England,False,2
19535,1996-06-18,England,Netherlands,4,1,UEFA Euro,London,England,False,5
19551,1996-06-22,England,Spain,0,0,UEFA Euro,London,England,False,0
19561,1996-06-26,England,Germany,1,1,UEFA Euro,London,England,False,2
19678,1996-09-01,Moldova,England,0,3,FIFA World Cup qualification,Chişinău,Moldova,False,3
19792,1996-10-09,England,Poland,2,1,FIFA World Cup qualification,London,England,False,3
19853,1996-11-09,Georgia,England,0,2,FIFA World Cup qualification,Tbilisi,Georgia,False,2
20052,1997-02-12,England,Italy,0,1,FIFA World Cup qualification,London,England,False,1
20156,1997-03-29,England,Mexico,2,0,Friendly,London,England,False,2
20284,1997-04-30,England,Georgia,2,0,FIFA World Cup qualification,London,England,False,2
20326,1997-05-24,England,South Africa,2,1,Friendly,Manchester,England,False,3
20339,1997-05-31,Poland,England,0,2,FIFA World Cup qualification,Chorzów,Poland,False,2
20351,1997-06-04,England,Italy,2,0,Tournoi de France,Nantes,France,True,2
20366,1997-06-07,France,England,0,1,Tournoi de France,Montpellier,France,False,1
20402,1997-06-10,England,Brazil,0,1,Tournoi de France,Paris,France,True,1
20630,1997-09-10,England,Moldova,4,0,FIFA World Cup qualification,London,England,False,4
20700,1997-10-11,Italy,England,0,0,FIFA World Cup qualification,Rome,Italy,False,0
20761,1997-11-15,England,Cameroon,2,0,Friendly,London,England,False,2
20912,1998-02-11,England,Chile,0,2,Friendly,London,England,False,2
20996,1998-03-25,Switzerland,England,1,1,Friendly,Berne,Switzerland,False,2
21028,1998-04-22,England,Portugal,3,0,Friendly,London,England,False,3
21068,1998-05-23,England,Saudi Arabia,0,0,Friendly,London,England,False,0
21080,1998-05-27,Morocco,England,0,1,King Hassan II Tournament,Casablanca,Morocco,False,1
21086,1998-05-29,Belgium,England,0,0,King Hassan II Tournament,Casablanca,Morocco,True,0
21138,1998-06-15,England,Tunisia,2,0,FIFA World Cup,Marseille,France,True,2
21157,1998-06-22,Romania,England,2,1,FIFA World Cup,Toulouse,France,True,3
21174,1998-06-26,Colombia,England,0,2,FIFA World Cup,Lens,France,True,2
21187,1998-06-30,Argentina,England,2,2,FIFA World Cup,Saint-Étienne,France,True,4
21326,1998-09-05,Sweden,England,2,1,UEFA Euro qualification,Solna,Sweden,False,3
21414,1998-10-10,England,Bulgaria,0,0,UEFA Euro qualification,London,England,False,0
21443,1998-10-14,Luxembourg,England,0,3,UEFA Euro qualification,Luxembourg,Luxembourg,False,3
21493,1998-11-18,England,Czech Republic,2,0,Friendly,London,England,False,2
21570,1999-02-10,England,France,0,2,Friendly,London,England,False,2
21664,1999-03-27,England,Poland,3,1,UEFA Euro qualification,London,England,False,4
21737,1999-04-28,Hungary,England,1,1,Friendly,Budapest,Hungary,False,2
21798,1999-06-05,England,Sweden,0,0,UEFA Euro qualification,London,England,False,0
21839,1999-06-09,Bulgaria,England,1,1,UEFA Euro qualification,Sofia,Bulgaria,False,2
22026,1999-09-04,England,Luxembourg,6,0,UEFA Euro qualification,London,England,False,6
22062,1999-09-08,Poland,England,0,0,UEFA Euro qualification,Warsaw,Poland,False,0
22110,1999-10-10,England,Belgium,2,1,Friendly,Sunderland,England,False,3
22158,1999-11-13,Scotland,England,0,2,UEFA Euro qualification,Glasgow,Scotland,False,2
22168,1999-11-17,England,Scotland,0,1,UEFA Euro qualification,London,England,False,1
22380,2000-02-23,England,Argentina,0,0,Friendly,London,England,False,0
22688,2000-05-27,England,Brazil,1,1,Friendly,London,England,False,2
22704,2000-05-31,England,Ukraine,2,0,Friendly,London,England,False,2
22724,2000-06-03,Malta,England,1,2,Friendly,Attard,Malta,False,3
22779,2000-06-12,Portugal,England,3,2,UEFA Euro,Eindhoven,Netherlands,True,5
22793,2000-06-17,England,Germany,1,0,UEFA Euro,Charleroi,Belgium,True,1
22814,2000-06-20,England,Romania,2,3,UEFA Euro,Charleroi,Belgium,True,5
22996,2000-09-02,France,England,1,1,Friendly,Saint-Denis,France,False,2
23071,2000-10-07,England,Germany,0,1,FIFA World Cup qualification,London,England,False,1
23117,2000-10-11,Finland,England,0,0,FIFA World Cup qualification,Helsinki,Finland,False,0
23204,2000-11-15,Italy,England,1,0,Friendly,Turin,Italy,False,1
23403,2001-02-28,England,Spain,3,0,Friendly,Birmingham,England,False,3
23472,2001-03-24,England,Finland,2,1,FIFA World Cup qualification,Liverpool,England,False,3
23507,2001-03-28,Albania,England,1,3,FIFA World Cup qualification,Tirana,Albania,False,4
23722,2001-05-25,England,Mexico,4,0,Friendly,Derby,England,False,4
23807,2001-06-06,Greece,England,0,2,FIFA World Cup qualification,Athens,Greece,False,2
23970,2001-08-15,England,Netherlands,0,2,Friendly,London,England,False,2
24011,2001-09-01,Germany,England,1,5,FIFA World Cup qualification,Munich,Germany,False,6
24041,2001-09-05,England,Albania,2,0,FIFA World Cup qualification,Newcastle,England,False,2
24092,2001-10-06,England,Greece,2,2,FIFA World Cup qualification,Manchester,England,False,4
24159,2001-11-10,England,Sweden,1,1,Friendly,Manchester,England,False,2
24357,2002-02-13,Netherlands,England,1,1,Friendly,Amsterdam,Netherlands,False,2
24409,2002-03-27,England,Italy,1,2,Friendly,Leeds,England,False,3
24443,2002-04-17,England,Paraguay,4,0,Friendly,Liverpool,England,False,4
24513,2002-05-21,Korea Republic,England,1,1,Friendly,Seogwipo,Korea Republic,False,2
24524,2002-05-26,Cameroon,England,2,2,Friendly,Kobe,Japan,True,4
24533,2002-06-02,England,Sweden,1,1,FIFA World Cup,Saitama,Japan,True,2
24550,2002-06-07,Argentina,England,0,1,FIFA World Cup,Sapporo,Japan,True,1
24568,2002-06-12,Nigeria,England,0,0,FIFA World Cup,Osaka,Japan,True,0
24580,2002-06-15,Denmark,England,0,3,FIFA World Cup,Niigata,Japan,True,3
24588,2002-06-21,England,Brazil,1,2,FIFA World Cup,Fukuroi,Japan,True,3
24724,2002-09-07,England,Portugal,1,1,Friendly,Birmingham,England,False,2
24798,2002-10-12,Slovakia,England,1,2,UEFA Euro qualification,Bratislava,Slovakia,False,3
24817,2002-10-16,England,Macedonia,2,2,UEFA Euro qualification,Southampton,England,False,4
25029,2003-02-12,England,Australia,1,3,Friendly,London,England,False,4
25160,2003-03-29,Liechtenstein,England,0,2,UEFA Euro qualification,Vaduz,Liechtenstein,False,2
25201,2003-04-02,England,Turkey,2,0,UEFA Euro qualification,Sunderland,England,False,2
25273,2003-05-22,South Africa,England,1,2,Friendly,Durban,South Africa,False,3
25290,2003-06-03,England,Serbia,2,1,Friendly,Leicester,England,False,3
25348,2003-06-11,England,Slovakia,2,1,UEFA Euro qualification,Middlesbrough,England,False,3
25511,2003-08-20,England,Croatia,3,1,Friendly,Ipswich,England,False,4
25557,2003-09-06,Macedonia,England,1,2,UEFA Euro qualification,Skopje,Macedonia,False,3
25582,2003-09-10,England,Liechtenstein,2,0,UEFA Euro qualification,Manchester,England,False,2
25680,2003-10-11,Turkey,England,0,0,UEFA Euro qualification,Istanbul,Turkey,False,0
25776,2003-11-16,England,Denmark,2,3,Friendly,Manchester,England,False,5
26006,2004-02-18,Portugal,England,1,1,Friendly,Faro,Portugal,False,2
26104,2004-03-31,Sweden,England,1,0,Friendly,Gothenburg,Sweden,False,1
26248,2004-06-01,England,Japan,1,1,Friendly,Manchester,England,False,2
26277,2004-06-05,England,Iceland,6,1,Friendly,Manchester,England,False,7
26338,2004-06-13,France,England,2,1,UEFA Euro,Lisbon,Portugal,True,3
26352,2004-06-17,England,Switzerland,3,0,UEFA Euro,Coimbra,Portugal,True,3
26387,2004-06-21,Croatia,England,2,4,UEFA Euro,Lisbon,Portugal,True,6
26397,2004-06-24,Portugal,England,2,2,UEFA Euro,Lisbon,Portugal,False,4
26514,2004-08-18,England,Ukraine,3,0,Friendly,Newcastle,England,False,3
26559,2004-09-04,Austria,England,2,2,FIFA World Cup qualification,Vienna,Austria,False,4
26633,2004-09-08,Poland,England,1,2,FIFA World Cup qualification,Chorzów,Poland,False,3
26677,2004-10-09,England,Wales,2,0,FIFA World Cup qualification,Manchester,England,False,2
26717,2004-10-13,Azerbaijan,England,0,1,FIFA World Cup qualification,Baku,Azerbaijan,False,1
26828,2004-11-17,Spain,England,1,0,Friendly,Madrid,Spain,False,1
27001,2005-02-09,England,Netherlands,0,0,Friendly,Birmingham,England,False,0
27095,2005-03-26,England,Northern Ireland,4,0,FIFA World Cup qualification,Manchester,England,False,4
27136,2005-03-30,England,Azerbaijan,2,0,FIFA World Cup qualification,Newcastle,England,False,2
27189,2005-05-28,USA,England,1,2,Friendly,Chicago,USA,False,3
27194,2005-05-31,Colombia,England,2,3,Friendly,East Rutherford,USA,True,5
27383,2005-08-17,Denmark,England,4,1,Friendly,Copenhagen,Denmark,False,5
27457,2005-09-03,Wales,England,0,1,FIFA World Cup qualification,Cardiff,Wales,False,1
27494,2005-09-07,Northern Ireland,England,1,0,FIFA World Cup qualification,Belfast,Northern Ireland,False,1
27524,2005-10-08,England,Austria,1,0,FIFA World Cup qualification,Manchester,England,False,1
27567,2005-10-12,England,Poland,2,1,FIFA World Cup qualification,Manchester,England,False,3
27608,2005-11-12,England,Argentina,3,2,Friendly,Geneva,Switzerland,True,5
27828,2006-03-01,England,Uruguay,2,1,Friendly,Liverpool,England,False,3
27973,2006-05-30,England,Hungary,3,1,Friendly,Manchester,England,False,4
28001,2006-06-03,England,Jamaica,6,0,Friendly,Manchester,England,False,6
28024,2006-06-10,England,Paraguay,1,0,FIFA World Cup,Frankfurt am Main,Germany,True,1
28039,2006-06-15,England,Trinidad and Tobago,2,0,FIFA World Cup,Nuremberg,Germany,True,2
28056,2006-06-20,Sweden,England,2,2,FIFA World Cup,Cologne,Germany,True,4
28073,2006-06-25,England,Ecuador,1,0,FIFA World Cup,Stuttgart,Germany,True,1
28087,2006-07-01,England,Portugal,0,0,FIFA World Cup,Gelsenkirchen,Germany,True,0
28139,2006-08-16,England,Greece,4,0,Friendly,Manchester,England,False,4
28189,2006-09-02,England,Andorra,5,0,UEFA Euro qualification,Manchester,England,False,5
28255,2006-09-06,Macedonia,England,0,1,UEFA Euro qualification,Skopje,Macedonia,False,1
28324,2006-10-07,England,Macedonia,0,0,UEFA Euro qualification,Manchester,England,False,0
28371,2006-10-11,Croatia,England,2,0,UEFA Euro qualification,Zagreb,Croatia,False,2
28453,2006-11-15,Netherlands,England,1,1,Friendly,Amsterdam,Netherlands,False,2
28613,2007-02-07,England,Spain,0,1,Friendly,Manchester,England,False,1
28687,2007-03-24,Israel,England,0,0,UEFA Euro qualification,Ramat-Gan,Israel,False,0
28730,2007-03-28,Andorra,England,0,3,UEFA Euro qualification,Barcelona,Spain,True,3
28799,2007-06-01,England,Brazil,1,1,Friendly,London,England,False,2
28869,2007-06-06,Estonia,England,0,3,UEFA Euro qualification,Tallinn,Estonia,False,3
29073,2007-08-22,England,Germany,1,2,Friendly,London,England,False,3
29144,2007-09-08,England,Israel,3,0,UEFA Euro qualification,London,England,False,3
29201,2007-09-12,England,Russia,3,0,UEFA Euro qualification,London,England,False,3
29253,2007-10-13,England,Estonia,3,0,UEFA Euro qualification,London,England,False,3
29313,2007-10-17,Russia,England,2,1,UEFA Euro qualification,Moscow,Russia,False,3
29352,2007-11-16,Austria,England,0,1,Friendly,Vienna,Austria,False,1
29416,2007-11-21,England,Croatia,2,3,UEFA Euro qualification,London,England,False,5
29578,2008-02-06,England,Switzerland,2,1,Friendly,London,England,False,3
29667,2008-03-26,France,England,1,0,Friendly,Saint-Denis,France,False,1
29788,2008-05-28,England,USA,2,0,Friendly,London,England,False,2
29841,2008-06-01,Trinidad and Tobago,England,0,3,Friendly,Port of Spain,Trinidad and Tobago,False,3
30123,2008-08-20,England,Czech Republic,2,2,Friendly,London,England,False,4
30184,2008-09-06,Andorra,England,0,2,FIFA World Cup qualification,Barcelona,Spain,True,2
30250,2008-09-10,Croatia,England,1,4,FIFA World Cup qualification,Zagreb,Croatia,False,5
30319,2008-10-11,England,Kazakhstan,5,1,FIFA World Cup qualification,London,England,False,6
30379,2008-10-15,Belarus,England,1,3,FIFA World Cup qualification,Minsk,Belarus,False,4
30474,2008-11-19,Germany,England,1,2,Friendly,Berlin,Germany,False,3
30686,2009-02-11,Spain,England,2,0,Friendly,Seville,Spain,False,2
30727,2009-03-28,England,Slovakia,4,0,Friendly,London,England,False,4
30777,2009-04-01,England,Ukraine,2,1,FIFA World Cup qualification,London,England,False,3
30876,2009-06-06,Kazakhstan,England,0,4,FIFA World Cup qualification,Almaty,Kazakhstan,False,4
30908,2009-06-10,England,Andorra,6,0,FIFA World Cup qualification,London,England,False,6
31033,2009-08-12,Netherlands,England,2,2,Friendly,Amsterdam,Netherlands,False,4
31083,2009-09-05,England,Slovenia,2,1,Friendly,London,England,False,3
31130,2009-09-09,England,Croatia,5,1,FIFA World Cup qualification,London,England,False,6
31201,2009-10-10,Ukraine,England,1,0,FIFA World Cup qualification,Dnipropetrovs'k,Ukraine,False,1
31224,2009-10-14,England,Belarus,3,0,FIFA World Cup qualification,London,England,False,3
31288,2009-11-14,Brazil,England,1,0,Friendly,Doha,Qatar,True,1
31514,2010-03-03,England,Egypt,3,1,Friendly,London,England,False,4
31587,2010-05-24,England,Mexico,3,1,Friendly,London,England,False,4
31627,2010-05-30,Japan,England,1,2,Friendly,Graz,Austria,True,3
31669,2010-06-12,England,USA,1,1,FIFA World Cup,Rustenburg,South Africa,True,2
31686,2010-06-18,England,Algeria,0,0,FIFA World Cup,Cape Town,South Africa,True,0
31710,2010-06-23,Slovenia,England,0,1,FIFA World Cup,Port Elizabeth,South Africa,True,1
31724,2010-06-27,Germany,England,4,1,FIFA World Cup,Bloemfontein,South Africa,True,5
31761,2010-08-11,England,Hungary,2,1,Friendly,London,England,False,3
31810,2010-09-03,England,Bulgaria,4,0,UEFA Euro qualification,London,England,False,4
31896,2010-09-07,Switzerland,England,1,3,UEFA Euro qualification,Basel,Switzerland,False,4
32030,2010-10-12,England,Montenegro,0,0,UEFA Euro qualification,London,England,False,0
32124,2010-11-17,England,France,1,2,Friendly,London,England,False,3
32335,2011-02-09,Denmark,England,1,2,Friendly,Copenhagen,Denmark,False,3
32437,2011-03-26,Wales,England,0,2,UEFA Euro qualification,Cardiff,Wales,False,2
32461,2011-03-29,England,Ghana,1,1,Friendly,London,England,False,2
32544,2011-06-04,England,Switzerland,2,2,UEFA Euro qualification,London,England,False,4
32834,2011-09-02,Bulgaria,England,0,3,UEFA Euro qualification,Sofia,Bulgaria,False,3
32926,2011-09-06,England,Wales,1,0,UEFA Euro qualification,London,England,False,1
33011,2011-10-07,Montenegro,England,2,2,UEFA Euro qualification,Podgorica,Montenegro,False,4
33165,2011-11-12,England,Spain,1,0,Friendly,London,England,False,1
33191,2011-11-15,England,Sweden,1,0,Friendly,London,England,False,1
33389,2012-02-29,England,Netherlands,2,3,Friendly,London,England,False,5
33510,2012-05-26,Norway,England,0,1,Friendly,Oslo,Norway,False,1
33564,2012-06-02,England,Belgium,1,0,Friendly,London,England,False,1
33664,2012-06-11,France,England,1,1,UEFA Euro,Donets'k,Ukraine,True,2
33688,2012-06-15,Sweden,England,2,3,UEFA Euro,Kyïv,Ukraine,True,5
33710,2012-06-19,Ukraine,England,0,1,UEFA Euro,Donets'k,Ukraine,False,1
33717,2012-06-24,England,Italy,0,0,UEFA Euro,Kyïv,Ukraine,True,0
33771,2012-08-15,England,Italy,2,1,Friendly,Berne,Switzerland,True,3
33854,2012-09-07,Moldova,England,0,5,FIFA World Cup qualification,Chişinău,Moldova,False,5
33899,2012-09-11,England,Ukraine,1,1,FIFA World Cup qualification,London,England,False,2
33999,2012-10-12,England,San Marino,5,0,FIFA World Cup qualification,London,England,False,5
34085,2012-10-17,Poland,England,1,1,FIFA World Cup qualification,Warsaw,Poland,False,2
34153,2012-11-14,Sweden,England,4,2,Friendly,Solna,Sweden,False,6
34384,2013-02-06,England,Brazil,2,1,Friendly,London,England,False,3
34497,2013-03-22,San Marino,England,0,8,FIFA World Cup qualification,Serravalle,San Marino,False,8
34557,2013-03-26,Montenegro,England,1,1,FIFA World Cup qualification,Podgorica,Montenegro,False,2
34592,2013-05-29,England,Ireland,1,1,Friendly,London,England,False,2
34603,2013-06-02,Brazil,England,2,2,Friendly,Rio de Janeiro,Brazil,False,4
34829,2013-08-14,England,Scotland,3,2,Friendly,London,England,False,5
34900,2013-09-06,England,Moldova,4,0,FIFA World Cup qualification,London,England,False,4
34996,2013-09-10,Ukraine,England,0,0,FIFA World Cup qualification,Kyïv,Ukraine,False,0
35021,2013-10-11,England,Montenegro,4,1,FIFA World Cup qualification,London,England,False,5
35062,2013-10-15,England,Poland,2,0,FIFA World Cup qualification,London,England,False,2
35119,2013-11-15,England,Chile,0,2,Friendly,London,England,False,2
35167,2013-11-19,England,Germany,0,1,Friendly,London,England,False,1
35308,2014-03-05,England,Denmark,1,0,Friendly,London,England,False,1
35442,2014-05-30,England,Peru,3,0,Friendly,London,England,False,3
35492,2014-06-04,Ecuador,England,2,2,Friendly,Miami Gardens,USA,True,4
35516,2014-06-07,Honduras,England,0,0,Friendly,Miami Gardens,USA,True,0
35529,2014-06-14,England,Italy,1,2,FIFA World Cup,Manaus,Brazil,True,3
35547,2014-06-19,Uruguay,England,2,1,FIFA World Cup,São Paulo,Brazil,True,3
35563,2014-06-24,Costa Rica,England,0,0,FIFA World Cup,Belo Horizonte,Brazil,True,0
35643,2014-09-03,England,Norway,1,0,Friendly,London,England,False,1
35721,2014-09-08,Switzerland,England,0,2,UEFA Euro qualification,Basel,Switzerland,False,2
35766,2014-10-09,England,San Marino,5,0,UEFA Euro qualification,London,England,False,5
35826,2014-10-12,Estonia,England,0,1,UEFA Euro qualification,Tallinn,Estonia,False,1
35954,2014-11-15,England,Slovenia,3,1,UEFA Euro qualification,London,England,False,4
36009,2014-11-18,Scotland,England,1,3,Friendly,Glasgow,Scotland,False,4
36203,2015-03-27,England,Lithuania,4,0,UEFA Euro qualification,London,England,False,4
36266,2015-03-31,Italy,England,1,1,Friendly,Turin,Italy,False,2
36354,2015-06-07,Ireland,England,0,0,Friendly,Dublin,Ireland,False,0
36449,2015-06-14,Slovenia,England,2,3,UEFA Euro qualification,Ljubljana,Slovenia,False,5
36620,2015-09-05,San Marino,England,0,6,UEFA Euro qualification,Serravalle,San Marino,False,6
36662,2015-09-08,England,Switzerland,2,0,UEFA Euro qualification,London,England,False,2
36731,2015-10-09,England,Estonia,2,0,UEFA Euro qualification,London,England,False,2
36777,2015-10-12,Lithuania,England,0,3,UEFA Euro qualification,Vilnius,Lithuania,False,3
36913,2015-11-13,Spain,England,2,0,Friendly,Alicante,Spain,False,2
36949,2015-11-17,England,France,2,0,Friendly,London,England,False,2
37162,2016-03-26,Germany,England,2,3,Friendly,Berlin,Germany,False,5
37196,2016-03-29,England,Netherlands,1,2,Friendly,London,England,False,3
37251,2016-05-22,England,Turkey,2,1,Friendly,Manchester,England,False,3
37258,2016-05-27,England,Australia,2,1,Friendly,Sunderland,England,False,3
37315,2016-06-02,England,Portugal,1,0,Friendly,London,England,False,1
37415,2016-06-11,England,Russia,1,1,UEFA Euro,Marseille,France,True,2
37448,2016-06-16,England,Wales,2,1,UEFA Euro,Lens,France,True,3
37470,2016-06-20,Slovakia,England,0,0,UEFA Euro,Saint-Étienne,France,True,0
37498,2016-06-27,England,Iceland,1,2,UEFA Euro,Nice,France,True,3
37588,2016-09-04,Slovakia,England,0,1,FIFA World Cup qualification,Trnava,Slovakia,False,1
37687,2016-10-08,England,Malta,2,0,FIFA World Cup qualification,London,England,False,2
37756,2016-10-11,Slovenia,England,0,0,FIFA World Cup qualification,Ljubljana,Slovenia,False,0
37804,2016-11-11,England,Scotland,3,0,FIFA World Cup qualification,London,England,False,3
37865,2016-11-15,England,Spain,2,2,Friendly,London,England,False,4
37992,2017-03-22,Germany,England,1,0,Friendly,Dortmund,Germany,False,1
38050,2017-03-26,England,Lithuania,2,0,FIFA World Cup qualification,London,England,False,2
38209,2017-06-10,Scotland,England,2,2,FIFA World Cup qualification,Glasgow,Scotland,False,4
38243,2017-06-13,France,England,3,2,Friendly,Saint-Denis,France,False,5
38393,2017-09-01,Malta,England,0,4,FIFA World Cup qualification,Attard,Malta,False,4
38433,2017-09-04,England,Slovakia,2,1,FIFA World Cup qualification,London,England,False,3
38494,2017-10-05,England,Slovenia,1,0,FIFA World Cup qualification,London,England,False,1
38550,2017-10-08,Lithuania,England,0,1,FIFA World Cup qualification,Vilnius,Lithuania,False,1
38621,2017-11-10,England,Germany,0,0,Friendly,London,England,False,0
38674,2017-11-14,England,Brazil,0,0,Friendly,London,England,False,0
38824,2018-03-23,Netherlands,England,0,1,Friendly,Amsterdam,Netherlands,False,1
38881,2018-03-27,England,Italy,1,1,Friendly,London,England,False,2
38981,2018-06-02,England,Nigeria,2,1,Friendly,London,England,False,3
